pop_titulo,id_pop,data_particao,data_inicio,data_fim,bairro,status
Acidente com vítima(s),2,2023-01-01,2023-01-01 17:23:12.000000 UTC,2023-01-01 17:48:06.000000 UTC,Campo grande,Fechado
Acidente com vítima(s),2,2023-01-01,2023-01-01 07:50:48.000000 UTC,2023-01-01 09:33:53.000000 UTC,Rio comprido,Fechado
Acidente com vítima(s),2,2023-01-01,2023-01-01 10:36:08.000000 UTC,2023-01-01 10:57:25.000000 UTC,Guaratiba,Fechado
Acidente com vítima(s),2,2023-01-01,2023-01-01 05:13:01.000000 UTC,2023-01-01 05:56:11.000000 UTC,Barra da tijuca,Fechado
Acidente com vítima(s),2,2023-01-01,2023-01-01 22:04:31.000000 UTC,2023-01-01 23:59:36.000000 UTC,Campo grande,Fechado
Acidente com vítima(s),2,2023-01-01,2023-01-01 23:53:48.000000 UTC,2023-01-01 23:58:30.000000 UTC,Barra da tijuca,Fechado
Acidente/enguiço sem vítima,1,2023-01-01,2023-01-01 05:19:42.000000 UTC,2023-01-01 05:49:13.000000 UTC,Galeão,Fechado
Acidente/enguiço sem vítima,1,2023-01-01,2023-01-01 05:19:42.000000 UTC,2023-01-01 05:49:13.000000 UTC,Galeão,Fechado
Acidente/enguiço sem vítima,1,2023-01-01,2023-01-01 19:31:38.000000 UTC,2023-01-01 19:47:37.000000 UTC,Jacarepaguá,Fechado
Acidente/enguiço sem vítima,1,2023-01-01,2023-01-01 11:58:23.000000 UTC,2023-01-01 12:13:06.000000 UTC,Vigário geral,Fechado
Acidente/enguiço sem vítima,1,2023-01-01,2023-01-01 08:15:13.000000 UTC,2023-01-01 09:35:15.000000 UTC,Bonsucesso,Fechado
Acidente/enguiço sem vítima,1,2023-01-01,2023-01-01 19:56:13.000000 UTC,2023-01-01 20:00:42.000000 UTC,Barra da tijuca,Fechado
Acidente/enguiço sem vítima,1,2023-01-01,2023-01-01 16:50:12.000000 UTC,2023-01-01 17:13:20.000000 UTC,Rio comprido,Fechado
Acidente/enguiço sem vítima,1,2023-01-01,2023-01-01 14:59:07.000000 UTC,2023-01-01 15:29:46.000000 UTC,São cristóvão,Fechado
Incêndio em imóvel,8,2023-01-01,2023-01-01 18:36:44.000000 UTC,2023-01-01 18:39:18.000000 UTC,Copacabana,Fechado
Incêndio em veículo(s),4,2023-01-01,2023-01-01 21:46:15.000000 UTC,2023-01-02 00:03:00.000000 UTC,Barra da tijuca,Fechado
Acidente com vítima(s),2,2023-01-02,2023-01-02 08:31:41.000000 UTC,2023-01-02 08:47:34.000000 UTC,Maracanã,Fechado
Acidente com vítima(s),2,2023-01-02,2023-01-02 02:15:49.000000 UTC,2023-01-02 04:18:17.000000 UTC,Santíssimo,Fechado
Acidente com vítima(s),2,2023-01-02,2023-01-02 03:37:43.000000 UTC,2023-01-02 03:51:12.000000 UTC,Santa teresa,Fechado
Acidente com vítima(s),2,2023-01-02,2023-01-02 14:51:13.000000 UTC,2023-01-02 16:04:23.000000 UTC,Ramos,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 06:05:44.000000 UTC,2023-01-02 07:26:11.000000 UTC,Benfica,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 09:30:41.000000 UTC,2023-01-02 10:30:42.000000 UTC,Barra da tijuca,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 06:28:28.000000 UTC,2023-01-02 07:26:21.000000 UTC,Barra da tijuca,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 15:59:28.000000 UTC,2023-01-02 16:24:59.000000 UTC,Paciencia,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 18:59:18.000000 UTC,2023-01-02 19:23:05.000000 UTC,Santa teresa,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 15:18:25.000000 UTC,2023-01-02 16:06:08.000000 UTC,Recreio dos bandeirantes,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 07:02:43.000000 UTC,2023-01-02 07:26:28.000000 UTC,Recreio dos bandeirantes,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 09:44:27.000000 UTC,2023-01-02 09:57:33.000000 UTC,São cristóvão,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 01:33:41.000000 UTC,2023-01-02 01:42:13.000000 UTC,Galeão,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 06:27:12.000000 UTC,2023-01-02 07:26:15.000000 UTC,Galeão,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 14:56:24.000000 UTC,2023-01-02 16:04:20.000000 UTC,Galeão,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 11:00:18.000000 UTC,2023-01-02 12:46:17.000000 UTC,Galeão,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 09:10:22.000000 UTC,2023-01-02 09:57:30.000000 UTC,Ramos,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 07:55:27.000000 UTC,2023-01-02 08:40:14.000000 UTC,Vila kennedy,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 07:00:13.000000 UTC,2023-01-02 07:26:24.000000 UTC,Ramos,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 21:05:22.000000 UTC,2023-01-02 22:49:54.000000 UTC,Engenho novo,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 09:28:58.000000 UTC,2023-01-02 10:30:39.000000 UTC,Engenho novo,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 13:34:15.000000 UTC,2023-01-02 14:34:41.000000 UTC,Joá,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 11:16:18.000000 UTC,2023-01-02 12:46:52.000000 UTC,Botafogo,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 09:46:51.000000 UTC,2023-01-02 10:10:36.000000 UTC,Ramos,Fechado
Acidente/enguiço sem vítima,1,2023-01-02,2023-01-02 17:51:26.000000 UTC,2023-01-02 18:24:41.000000 UTC,Gávea,Fechado
Bolsão d'água em via,5,2023-01-02,2023-01-02 17:23:39.000000 UTC,2023-01-02 17:53:57.000000 UTC,Anchieta,Fechado
Operação policial,26,2023-01-02,2023-01-02 19:55:05.000000 UTC,2023-01-02 20:07:15.000000 UTC,Lagoa,Fechado
Acidente com vítima(s),2,2023-01-03,2023-01-03 09:24:23.000000 UTC,2023-01-03 09:25:31.000000 UTC,Ipanema,Fechado
Acidente com vítima(s),2,2023-01-03,2023-01-03 22:35:43.000000 UTC,2023-01-04 00:28:24.000000 UTC,Praca da bandeira,Fechado
Acidente/enguiço sem vítima,1,2023-01-03,2023-01-03 10:34:22.000000 UTC,2023-01-03 11:13:30.000000 UTC,Pavuna,Fechado
Acidente/enguiço sem vítima,1,2023-01-03,2023-01-03 11:50:32.000000 UTC,2023-01-03 11:54:35.000000 UTC,Cordovil,Fechado
Acidente/enguiço sem vítima,1,2023-01-03,2023-01-03 10:22:33.000000 UTC,2023-01-03 11:12:43.000000 UTC,Guadalupe,Fechado
